County,City,Model Year,Make,Model,Electric Vehicle Type,CAFV Status,Electric Range,Electric Utility,Vehicle Age
Kitsap,Bainbridge Island,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
Kitsap,Port Orchard,2011,NISSAN,LEAF,BEV,Eligible,73.0,Puget Sound Energy,15
King,Bothell,2011,NISSAN,LEAF,BEV,Eligible,73.0,Puget Sound Energy,15
Yakima,Selah,2020,CHEVROLET,BOLT EV,BEV,Eligible,259.0,Pacificorp,6
King,Seattle,2020,KIA,NIRO,PHEV,Not Eligible (Low Range),26.0,City Of Seattle,6
Thurston,Olympia,2023,KIA,NIRO,PHEV,Eligible,33.0,Puget Sound Energy,3
King,Seattle,2016,AUDI,A3,PHEV,Not Eligible (Low Range),16.0,City Of Seattle,10
Thurston,Tumwater,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
Kitsap,Bremerton,2018,TESLA,MODEL S,BEV,Eligible,249.0,Puget Sound Energy,8
Snohomish,Lynnwood,2017,CHEVROLET,VOLT,PHEV,Eligible,53.0,Puget Sound Energy,9
Snohomish,Bothell,2024,BMW,X5,PHEV,Eligible,39.0,Puget Sound Energy,2
King,Kirkland,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Thurston,Olympia,2013,NISSAN,LEAF,BEV,Eligible,75.0,Puget Sound Energy,13
Thurston,Olympia,2019,NISSAN,LEAF,BEV,Eligible,150.0,Puget Sound Energy,7
Yakima,Yakima,2016,TESLA,MODEL X,BEV,Eligible,200.0,Pacificorp,10
Thurston,Lacey,2014,CHEVROLET,SPARK,BEV,Eligible,82.0,Puget Sound Energy,12
Kitsap,Silverdale,2018,TESLA,MODEL X,BEV,Eligible,238.0,Puget Sound Energy,8
Kitsap,Silverdale,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Yakima,Moxee,2014,FORD,FUSION,PHEV,Not Eligible (Low Range),19.0,Pacificorp,12
Kitsap,Bainbridge Island,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
King,Seattle,2013,NISSAN,LEAF,BEV,Eligible,75.0,City Of Seattle,13
King,Pacific,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Island,Oak Harbor,2023,CHRYSLER,PACIFICA,PHEV,Eligible,32.0,Puget Sound Energy,3
Thurston,Olympia,2022,KIA,NIRO,PHEV,Not Eligible (Low Range),26.0,Puget Sound Energy,4
Kitsap,Silverdale,2026,BMW,X5,PHEV,Eligible,38.0,Puget Sound Energy,0
Kitsap,Port Orchard,2025,FORD,ESCAPE,PHEV,Eligible,37.0,Puget Sound Energy,1
King,Seattle,2019,NISSAN,LEAF,BEV,Eligible,150.0,City Of Seattle,7
King,Bellevue,2015,NISSAN,LEAF,BEV,Eligible,84.0,Puget Sound Energy,11
Yakima,Yakima,2022,TESLA,MODEL 3,BEV,,,Pacificorp,4
Yakima,Yakima,2016,CADILLAC,ELR,PHEV,Eligible,40.0,Pacificorp,10
Thurston,Olympia,2018,BMW,I3,PHEV,Eligible,97.0,Puget Sound Energy,8
King,Shoreline,2017,NISSAN,LEAF,BEV,Eligible,107.0,City Of Seattle,9
Kitsap,Bainbridge Island,2017,CHEVROLET,VOLT,PHEV,Eligible,53.0,Puget Sound Energy,9
King,Kirkland,2019,NISSAN,LEAF,BEV,Eligible,150.0,Puget Sound Energy,7
King,Seattle,2017,NISSAN,LEAF,BEV,Eligible,107.0,City Of Seattle,9
Thurston,Olympia,2024,HYUNDAI,TUCSON,PHEV,Eligible,33.0,Puget Sound Energy,2
Kitsap,Bainbridge Island,2015,NISSAN,LEAF,BEV,Eligible,84.0,Puget Sound Energy,11
King,Auburn,2017,TESLA,MODEL S,BEV,Eligible,210.0,Puget Sound Energy,9
Kitsap,Seabeck,2018,PORSCHE,PANAMERA,PHEV,Not Eligible (Low Range),16.0,Puget Sound Energy,8
Thurston,Yelm,2022,RIVIAN,R1T,BEV,,,Puget Sound Energy,4
Thurston,Olympia,2014,CHEVROLET,VOLT,PHEV,Eligible,38.0,Puget Sound Energy,12
Snohomish,Snohomish,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
King,Redmond,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Thurston,Tumwater,2024,KIA,EV6,BEV,,,Puget Sound Energy,2
King,Kent,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Kitsap,Silverdale,2023,BMW,330E,PHEV,Not Eligible (Low Range),22.0,Puget Sound Energy,3
Thurston,Olympia,2022,NISSAN,LEAF,BEV,,,Puget Sound Energy,4
Snohomish,Everett,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
King,Bellevue,2013,NISSAN,LEAF,BEV,Eligible,75.0,Puget Sound Energy,13
Kitsap,Suquamish,2022,VOLVO,XC60,PHEV,Not Eligible (Low Range),18.0,Puget Sound Energy,4
Thurston,Olympia,2016,AUDI,A3,PHEV,Not Eligible (Low Range),16.0,Puget Sound Energy,10
Kitsap,Poulsbo,2018,CHRYSLER,PACIFICA,PHEV,Eligible,33.0,Puget Sound Energy,8
Snohomish,Mill Creek,2016,FIAT,500,BEV,Eligible,84.0,Puget Sound Energy,10
Thurston,Rainier,2018,BMW,X5,PHEV,Not Eligible (Low Range),13.0,Puget Sound Energy,8
Snohomish,Edmonds,2021,BMW,X3,PHEV,Not Eligible (Low Range),17.0,Puget Sound Energy,5
Kitsap,Bremerton,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
Yakima,Selah,2024,BMW,X5,PHEV,Eligible,39.0,Pacificorp,2
Kitsap,Olalla,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
Kitsap,Poulsbo,2020,KIA,NIRO,BEV,Eligible,239.0,Puget Sound Energy,6
Kitsap,Silverdale,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Snohomish,Sultan,2016,FORD,C-MAX,PHEV,Not Eligible (Low Range),19.0,Puget Sound Energy,10
Yakima,Yakima,2022,KIA,SORENTO,PHEV,Eligible,32.0,Pacificorp,4
King,Bothell,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Kitsap,Bremerton,2024,MAZDA,CX-90,PHEV,Not Eligible (Low Range),26.0,Puget Sound Energy,2
Thurston,Olympia,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
Kitsap,Port Orchard,2020,TESLA,MODEL 3,BEV,Eligible,266.0,Puget Sound Energy,6
Thurston,Olympia,2020,KIA,NIRO,PHEV,Not Eligible (Low Range),26.0,Puget Sound Energy,6
Yakima,Selah,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Pacificorp,7
Thurston,Yelm,2025,MAZDA,CX-90,PHEV,Not Eligible (Low Range),26.0,Puget Sound Energy,1
Thurston,Olympia,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Kitsap,Suquamish,2024,DODGE,HORNET,PHEV,Eligible,32.0,Puget Sound Energy,2
Yakima,Yakima,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Pacificorp,7
Kitsap,Poulsbo,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
Kitsap,Poulsbo,2018,TESLA,MODEL X,BEV,Eligible,238.0,Puget Sound Energy,8
King,Redmond,2020,TESLA,MODEL S,BEV,Eligible,330.0,Puget Sound Energy,6
Kitsap,Poulsbo,2024,TESLA,MODEL Y,BEV,,,Puget Sound Energy,2
Kitsap,Port Orchard,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Yakima,Yakima,2024,KIA,EV9,BEV,,,Pacificorp,2
Kitsap,Port Orchard,2019,NISSAN,LEAF,BEV,Eligible,150.0,Puget Sound Energy,7
Snohomish,Lake Stevens,2017,TESLA,MODEL X,BEV,Eligible,200.0,Puget Sound Energy,9
Kitsap,Bremerton,2018,KIA,NIRO,PHEV,Not Eligible (Low Range),26.0,Puget Sound Energy,8
King,Shoreline,2020,KIA,NIRO,BEV,Eligible,239.0,City Of Seattle,6
Snohomish,Bothell,2018,TESLA,MODEL S,BEV,Eligible,249.0,Puget Sound Energy,8
King,Seattle,2016,NISSAN,LEAF,BEV,Eligible,84.0,City Of Seattle,10
Snohomish,Bothell,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
Snohomish,Lynnwood,2020,TESLA,MODEL 3,BEV,Eligible,322.0,Puget Sound Energy,6
Yakima,Yakima,2012,TOYOTA,PRIUS,PHEV,Not Eligible (Low Range),6.0,Pacificorp,14
King,Renton,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Snohomish,Bothell,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Snohomish,Bothell,2018,TESLA,MODEL S,BEV,Eligible,249.0,Puget Sound Energy,8
Yakima,Yakima,2023,RIVIAN,R1S,BEV,,,Pacificorp,3
Kitsap,Bremerton,2020,AUDI,Q5 E,PHEV,Not Eligible (Low Range),20.0,Puget Sound Energy,6
Thurston,Olympia,2019,KIA,NIRO,BEV,Eligible,239.0,Puget Sound Energy,7
Snohomish,Everett,2025,RIVIAN,R1S,BEV,,,Puget Sound Energy,1
King,Renton,2014,BMW,I3,PHEV,Eligible,72.0,Puget Sound Energy,12
Kitsap,Bremerton,2025,TESLA,MODEL 3,BEV,,,Puget Sound Energy,1
Thurston,Olympia,2019,NISSAN,LEAF,BEV,Eligible,150.0,Puget Sound Energy,7
King,Maple Valley,2020,KIA,NIRO,BEV,Eligible,239.0,Puget Sound Energy,6
Kitsap,Poulsbo,2017,BMW,I3,BEV,Eligible,81.0,Puget Sound Energy,9
Kitsap,Bremerton,2015,NISSAN,LEAF,BEV,Eligible,84.0,Puget Sound Energy,11
Snohomish,Bothell,2018,CHEVROLET,BOLT EV,BEV,Eligible,238.0,Puget Sound Energy,8
Thurston,Yelm,2015,FIAT,500,BEV,Eligible,87.0,Puget Sound Energy,11
Kitsap,Seabeck,2025,NISSAN,LEAF,BEV,,,Puget Sound Energy,1
Snohomish,Lake Stevens,2025,BMW,X5,PHEV,Eligible,40.0,Puget Sound Energy,1
Yakima,Yakima,2023,RIVIAN,R1S,BEV,,,Pacificorp,3
Kitsap,Poulsbo,2023,KIA,SPORTAGE,PHEV,Eligible,34.0,Puget Sound Energy,3
Snohomish,Bothell,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
King,Seattle,2015,NISSAN,LEAF,BEV,Eligible,84.0,City Of Seattle,11
Snohomish,Bothell,2024,TESLA,MODEL Y,BEV,,,Puget Sound Energy,2
Kitsap,Poulsbo,2018,BMW,330E,PHEV,Not Eligible (Low Range),14.0,Puget Sound Energy,8
Yakima,Moxee,2023,JEEP,GRAND CHEROKEE,PHEV,Not Eligible (Low Range),25.0,Pacificorp,3
King,Seattle,2017,BMW,I3,BEV,Eligible,81.0,City Of Seattle,9
Snohomish,Bothell,2020,TESLA,MODEL 3,BEV,Eligible,266.0,Puget Sound Energy,6
Kitsap,Poulsbo,2018,BMW,X5,PHEV,Not Eligible (Low Range),13.0,Puget Sound Energy,8
Kitsap,Bremerton,2015,FIAT,500,BEV,Eligible,87.0,Puget Sound Energy,11
Snohomish,Everett,2024,HYUNDAI,TUCSON,PHEV,Eligible,33.0,Puget Sound Energy,2
Snohomish,Bothell,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Thurston,Olympia,2011,NISSAN,LEAF,BEV,Eligible,73.0,Puget Sound Energy,15
Thurston,Olympia,2018,CHEVROLET,VOLT,PHEV,Eligible,53.0,Puget Sound Energy,8
King,Seattle,2018,TESLA,MODEL 3,BEV,Eligible,215.0,City Of Seattle,8
Kitsap,Poulsbo,2020,CHEVROLET,BOLT EV,BEV,Eligible,259.0,Puget Sound Energy,6
Thurston,Olympia,2013,NISSAN,LEAF,BEV,Eligible,75.0,Puget Sound Energy,13
King,Seattle,2015,BMW,I3,BEV,Eligible,81.0,City Of Seattle,11
Snohomish,Bothell,2013,NISSAN,LEAF,BEV,Eligible,75.0,Puget Sound Energy,13
King,Seattle,2019,KIA,NIRO,BEV,Eligible,239.0,City Of Seattle,7
Thurston,Olympia,2024,TESLA,MODEL Y,BEV,,,Puget Sound Energy,2
Thurston,Olympia,2025,CHRYSLER,PACIFICA,PHEV,Eligible,32.0,Puget Sound Energy,1
Snohomish,Snohomish,2020,CHEVROLET,BOLT EV,BEV,Eligible,259.0,Puget Sound Energy,6
Snohomish,Bothell,2022,VOLVO,XC90,PHEV,Not Eligible (Low Range),18.0,Puget Sound Energy,4
Thurston,Olympia,2018,NISSAN,LEAF,BEV,Eligible,151.0,Puget Sound Energy,8
Yakima,Yakima,2024,KIA,EV6,BEV,,,Pacificorp,2
Kitsap,Kingston,2025,MERCEDES-BENZ,GLC-CLASS,PHEV,Eligible,54.0,Puget Sound Energy,1
Kitsap,Port Orchard,2024,KIA,NIRO,PHEV,Eligible,33.0,Puget Sound Energy,2
King,Seattle,2016,KIA,SOUL,BEV,Eligible,93.0,City Of Seattle,10
Snohomish,Bothell,2019,JAGUAR,I-PACE,BEV,Eligible,234.0,Puget Sound Energy,7
Kitsap,Bremerton,2016,VOLKSWAGEN,E-GOLF,BEV,Eligible,83.0,Puget Sound Energy,10
Yakima,Yakima,2021,CHEVROLET,BOLT EV,BEV,,,Pacificorp,5
Snohomish,Brier,2022,AUDI,Q5,PHEV,Not Eligible (Low Range),22.0,Puget Sound Energy,4
Snohomish,Bothell,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
Thurston,Olympia,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Yakima,Yakima,2013,NISSAN,LEAF,BEV,Eligible,75.0,Pacificorp,13
King,Auburn,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
King,Seattle,2017,BMW,I8,PHEV,Not Eligible (Low Range),14.0,City Of Seattle,9
Thurston,Olympia,2023,TESLA,MODEL 3,BEV,,,Puget Sound Energy,3
Kitsap,Port Orchard,2015,FORD,C-MAX,PHEV,Not Eligible (Low Range),19.0,Puget Sound Energy,11
Kitsap,Port Orchard,2016,FIAT,500,BEV,Eligible,84.0,Puget Sound Energy,10
King,Seattle,2018,TESLA,MODEL 3,BEV,Eligible,215.0,City Of Seattle,8
Yakima,Yakima,2024,JEEP,WRANGLER,PHEV,Not Eligible (Low Range),21.0,Pacificorp,2
Kitsap,Seabeck,2025,MINI,COUNTRYMAN,BEV,,,Puget Sound Energy,1
Thurston,Olympia,2016,KIA,SOUL,BEV,Eligible,93.0,Puget Sound Energy,10
Thurston,Olympia,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Thurston,Olympia,2025,TOYOTA,RAV4 PRIME (PHEV),PHEV,Eligible,42.0,Puget Sound Energy,1
Kitsap,Kingston,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Snohomish,Lynnwood,2023,JEEP,WRANGLER,PHEV,Not Eligible (Low Range),21.0,Puget Sound Energy,3
King,Snoqualmie,2020,TESLA,MODEL 3,BEV,Eligible,322.0,Puget Sound Energy,6
Kitsap,Bainbridge Island,2018,NISSAN,LEAF,BEV,Eligible,151.0,Puget Sound Energy,8
Thurston,Tumwater,2017,FIAT,500,BEV,Eligible,84.0,Puget Sound Energy,9
Snohomish,Bothell,2018,HONDA,CLARITY,PHEV,Eligible,47.0,Puget Sound Energy,8
Yakima,Yakima,2014,TESLA,MODEL S,BEV,Eligible,208.0,Pacificorp,12
Yakima,Yakima,2023,TESLA,MODEL Y,BEV,,,Pacificorp,3
Thurston,Olympia,2016,BMW,X5,PHEV,Not Eligible (Low Range),14.0,Puget Sound Energy,10
Thurston,Olympia,2020,TESLA,MODEL X,BEV,Eligible,293.0,Puget Sound Energy,6
Snohomish,Bothell,2017,NISSAN,LEAF,BEV,Eligible,107.0,Puget Sound Energy,9
King,Seattle,2020,TESLA,MODEL Y,BEV,Eligible,291.0,City Of Seattle,6
Thurston,Olympia,2015,NISSAN,LEAF,BEV,Eligible,84.0,Puget Sound Energy,11
King,Issaquah,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Snohomish,Mill Creek,2013,TESLA,MODEL S,BEV,Eligible,208.0,Puget Sound Energy,13
Thurston,Tumwater,2022,KIA,SORENTO,PHEV,Eligible,32.0,Puget Sound Energy,4
King,Sammamish,2020,TESLA,MODEL 3,BEV,Eligible,266.0,Puget Sound Energy,6
King,Seattle,2021,MINI,HARDTOP,BEV,Eligible,110.0,City Of Seattle,5
Kitsap,Bremerton,2020,KIA,NIRO,BEV,Eligible,239.0,Puget Sound Energy,6
Thurston,Lacey,2023,JEEP,WRANGLER,PHEV,Not Eligible (Low Range),21.0,Puget Sound Energy,3
Thurston,Olympia,2023,VOLVO,XC90,PHEV,Eligible,32.0,Puget Sound Energy,3
Snohomish,Lake Stevens,2024,MAZDA,CX-90,PHEV,Not Eligible (Low Range),26.0,Puget Sound Energy,2
Kitsap,Bremerton,2023,TESLA,MODEL 3,BEV,,,Puget Sound Energy,3
Thurston,Olympia,2015,TESLA,MODEL S,BEV,Eligible,208.0,Puget Sound Energy,11
King,Seattle,2020,TESLA,MODEL Y,BEV,Eligible,291.0,City Of Seattle,6
Thurston,Lacey,2015,FORD,FUSION,PHEV,Not Eligible (Low Range),19.0,Puget Sound Energy,11
King,Kent,2018,TESLA,MODEL X,BEV,Eligible,238.0,Puget Sound Energy,8
Thurston,Lacey,2017,CHEVROLET,VOLT,PHEV,Eligible,53.0,Puget Sound Energy,9
Thurston,Olympia,2020,KIA,NIRO,BEV,Eligible,239.0,Puget Sound Energy,6
Kitsap,Bainbridge Island,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
Thurston,Olympia,2021,AUDI,Q5 E,PHEV,Not Eligible (Low Range),18.0,Puget Sound Energy,5
Thurston,Olympia,2013,CHEVROLET,VOLT,PHEV,Eligible,38.0,Puget Sound Energy,13
Yakima,Wapato,2020,TESLA,MODEL 3,BEV,Eligible,308.0,Pacificorp,6
King,Renton,2019,BMW,I3,BEV,Eligible,153.0,Puget Sound Energy,7
Thurston,Tumwater,2016,NISSAN,LEAF,BEV,Eligible,84.0,Puget Sound Energy,10
Kitsap,Bremerton,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Thurston,Olympia,2017,CHEVROLET,BOLT EV,BEV,Eligible,238.0,Puget Sound Energy,9
Yakima,Zillah,2022,AUDI,RS E-TRON GT,BEV,,,Pacificorp,4
Yakima,Yakima,2024,RIVIAN,R1S,BEV,,,Pacificorp,2
Thurston,Olympia,2020,HONDA,CLARITY,PHEV,Eligible,47.0,Puget Sound Energy,6
Island,Langley,2025,KIA,EV6,BEV,,,Puget Sound Energy,1
King,Seattle,2016,KIA,SOUL,BEV,Eligible,93.0,City Of Seattle,10
Snohomish,Snohomish,2018,NISSAN,LEAF,BEV,Eligible,151.0,Puget Sound Energy,8
Snohomish,Lynnwood,2020,TESLA,MODEL 3,BEV,Eligible,322.0,Puget Sound Energy,6
King,Bellevue,2021,MINI,HARDTOP,BEV,Eligible,110.0,Puget Sound Energy,5
King,Renton,2013,NISSAN,LEAF,BEV,Eligible,75.0,Puget Sound Energy,13
Yakima,Yakima,2024,MAZDA,CX-90,PHEV,Not Eligible (Low Range),26.0,Pacificorp,2
Thurston,Olympia,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Yakima,Toppenish,2013,NISSAN,LEAF,BEV,Eligible,75.0,Pacificorp,13
Thurston,Lacey,2014,FORD,C-MAX,PHEV,Not Eligible (Low Range),19.0,Puget Sound Energy,12
Kitsap,Silverdale,2020,TESLA,MODEL 3,BEV,Eligible,322.0,Puget Sound Energy,6
Snohomish,Mukilteo,2026,BMW,X5,PHEV,Eligible,38.0,Puget Sound Energy,0
Yakima,Yakima,2017,CHEVROLET,BOLT EV,BEV,Eligible,238.0,Pacificorp,9
Snohomish,Bothell,2022,TESLA,MODEL Y,BEV,,,Puget Sound Energy,4
King,Seattle,2019,BMW,I3,PHEV,Eligible,126.0,City Of Seattle,7
King,Seattle,2020,TESLA,MODEL 3,BEV,Eligible,322.0,City Of Seattle,6
Yakima,Yakima,2023,KIA,SPORTAGE,PHEV,Eligible,34.0,Pacificorp,3
King,Seattle,2020,KIA,NIRO,BEV,Eligible,239.0,City Of Seattle,6
Kitsap,Seabeck,2022,HYUNDAI,SANTA FE,PHEV,Eligible,31.0,Puget Sound Energy,4
Kitsap,Port Orchard,2017,FIAT,500,BEV,Eligible,84.0,Puget Sound Energy,9
King,Seattle,2013,FORD,FOCUS,BEV,Eligible,76.0,City Of Seattle,13
Thurston,Olympia,2018,KIA,NIRO,PHEV,Not Eligible (Low Range),26.0,Puget Sound Energy,8
Kitsap,Port Orchard,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
King,Renton,2022,BMW,X5,PHEV,Eligible,30.0,Puget Sound Energy,4
Snohomish,Mill Creek,2025,LINCOLN,CORSAIR,PHEV,Not Eligible (Low Range),27.0,Puget Sound Energy,1
Walla Walla,Walla Walla,2022,NISSAN,LEAF,BEV,,,Pacificorp,4
Snohomish,Edmonds,2019,NISSAN,LEAF,BEV,Eligible,150.0,Puget Sound Energy,7
Whitman,Pullman,2017,MERCEDES-BENZ,B-CLASS,BEV,Eligible,87.0,Avista Corp,9
Snohomish,Edmonds,2017,BMW,I3,PHEV,Eligible,97.0,Puget Sound Energy,9
Snohomish,Woodinville,2014,NISSAN,LEAF,BEV,Eligible,84.0,Puget Sound Energy,12
Snohomish,Lake Stevens,2015,FORD,C-MAX,PHEV,Not Eligible (Low Range),19.0,Puget Sound Energy,11
Snohomish,Lynnwood,2017,CHEVROLET,BOLT EV,BEV,Eligible,238.0,Puget Sound Energy,9
Chelan,Cashmere,2025,JEEP,WRANGLER,PHEV,Not Eligible (Low Range),21.0,Pud No 1 Of Chelan County,1
Kitsap,Bremerton,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
Whitman,Pullman,2017,TESLA,MODEL X,BEV,Eligible,200.0,Avista Corp,9
Skagit,Anacortes,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Yakima,Yakima,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Pacificorp,8
Snohomish,Lynnwood,2016,TESLA,MODEL X,BEV,Eligible,200.0,Puget Sound Energy,10
Thurston,Lacey,2024,TOYOTA,BZ4X,BEV,,,Puget Sound Energy,2
Whitman,Pullman,2016,AUDI,A3,PHEV,Not Eligible (Low Range),16.0,Avista Corp,10
Whitman,Palouse,2020,KIA,NIRO,PHEV,Not Eligible (Low Range),26.0,Avista Corp,6
Snohomish,Lynnwood,2022,AUDI,Q5,PHEV,Not Eligible (Low Range),22.0,Puget Sound Energy,4
Snohomish,Bothell,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Walla Walla,Walla Walla,2025,BMW,X5,PHEV,Eligible,40.0,Pacificorp,1
King,Redmond,2015,FIAT,500,BEV,Eligible,87.0,Puget Sound Energy,11
Grant,Moses Lake,2012,TOYOTA,PRIUS,PHEV,Not Eligible (Low Range),6.0,Pud No 2 Of Grant County,14
Snohomish,Bothell,2019,TOYOTA,PRIUS PRIME (PHEV),PHEV,Not Eligible (Low Range),25.0,Puget Sound Energy,7
Snohomish,Snohomish,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Snohomish,Lynnwood,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
Snohomish,Monroe,2018,TESLA,MODEL S,BEV,Eligible,249.0,Puget Sound Energy,8
Yakima,Yakima,2017,TESLA,MODEL S,BEV,Eligible,210.0,Pacificorp,9
Snohomish,Arlington,2022,KIA,EV6,BEV,,,Puget Sound Energy,4
Chelan,Wenatchee,2020,FORD,FUSION,PHEV,Not Eligible (Low Range),26.0,Pud No 1 Of Chelan County,6
Skagit,Anacortes,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
Snohomish,Snohomish,2017,NISSAN,LEAF,BEV,Eligible,107.0,Puget Sound Energy,9
Skagit,Mount Vernon,2017,TESLA,MODEL S,BEV,Eligible,210.0,Puget Sound Energy,9
Snohomish,Bothell,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Spokane,Spokane,2017,FIAT,500,BEV,Eligible,84.0,Modern Electric Water Company,9
Skagit,Bow,2019,NISSAN,LEAF,BEV,Eligible,150.0,Puget Sound Energy,7
Snohomish,Monroe,2013,NISSAN,LEAF,BEV,Eligible,75.0,Puget Sound Energy,13
Snohomish,Monroe,2020,KIA,NIRO,BEV,Eligible,239.0,Puget Sound Energy,6
Adams,Lind,2022,RIVIAN,R1T,BEV,,,Avista Corp,4
King,Kirkland,2019,NISSAN,LEAF,BEV,Eligible,150.0,Puget Sound Energy,7
Skagit,Burlington,2024,KIA,SPORTAGE,PHEV,Eligible,34.0,Puget Sound Energy,2
Snohomish,Monroe,2015,CHEVROLET,VOLT,PHEV,Eligible,38.0,Puget Sound Energy,11
Thurston,Olympia,2020,TESLA,MODEL 3,BEV,Eligible,322.0,Puget Sound Energy,6
Snohomish,Monroe,2024,TESLA,MODEL Y,BEV,,,Puget Sound Energy,2
Snohomish,Lynnwood,2013,NISSAN,LEAF,BEV,Eligible,75.0,Puget Sound Energy,13
Spokane,Spokane,2019,KIA,NIRO,BEV,Eligible,239.0,Modern Electric Water Company,7
Skagit,Anacortes,2022,BMW,X5,PHEV,Eligible,30.0,Puget Sound Energy,4
Yakima,Yakima,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Pacificorp,8
Snohomish,Lynnwood,2016,KIA,SOUL,BEV,Eligible,93.0,Puget Sound Energy,10
Kitsap,Bremerton,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Snohomish,Bothell,2020,TESLA,MODEL 3,BEV,Eligible,266.0,Puget Sound Energy,6
Snohomish,Everett,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
Snohomish,Snohomish,2015,NISSAN,LEAF,BEV,Eligible,84.0,Puget Sound Energy,11
Yakima,Yakima,2021,TESLA,MODEL Y,BEV,,,Pacificorp,5
Thurston,Olympia,2016,TESLA,MODEL S,BEV,Eligible,210.0,Puget Sound Energy,10
Snohomish,Mukilteo,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Snohomish,Mill Creek,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
Snohomish,Edmonds,2017,AUDI,A3,PHEV,Not Eligible (Low Range),16.0,Puget Sound Energy,9
King,Auburn,2021,AUDI,E-TRON,BEV,Eligible,222.0,Puget Sound Energy,5
Grant,Moses Lake,2025,LEXUS,RX,PHEV,Eligible,37.0,Pud No 2 Of Grant County,1
Kitsap,Port Orchard,2014,NISSAN,LEAF,BEV,Eligible,84.0,Puget Sound Energy,12
Snohomish,Woodway,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
Snohomish,Monroe,2016,NISSAN,LEAF,BEV,Eligible,84.0,Puget Sound Energy,10
Whitman,Pullman,2020,PORSCHE,TAYCAN,BEV,Eligible,203.0,Avista Corp,6
Snohomish,Snohomish,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
King,Seattle,2011,NISSAN,LEAF,BEV,Eligible,73.0,City Of Seattle,15
